Sessao; Data; Tempo Final; Pontos; Fase Final; Nivel Final 
2; 10/11/2023 1:55:31 PM; 00:00; 13.33333; A; 9
2; 10/11/2023 2:01:50 PM; 05:00; 0; A; 7
2; 3/4/2024 3:09:42 PM; 04:53; 1.333333; A; 7
2; 3/4/2024 3:21:01 PM; 04:57; 0; A; 7
2; 3/4/2024 3:36:09 PM; 04:58; 0; A; 7
2; 3/4/2024 3:39:17 PM; 04:58; 0; A; 7
2; 3/4/2024 5:38:47 PM; 04:54; 0.6666667; A; 7
2; 3/4/2024 5:55:35 PM; 04:58; 0; A; 7
2; 3/4/2024 5:58:20 PM; 04:56; 0; A; 7
2; 3/4/2024 5:59:37 PM; 04:55; 0; A; 7
2; 3/4/2024 6:01:47 PM; 04:53; 0.6666667; A; 7
3; 3/4/2024 6:01:56 PM; 04:57; 0; A; 7
4; 3/4/2024 6:02:01 PM; 04:57; 0; A; 7
2; 3/4/2024 6:03:06 PM; 04:58; 0; A; 7
2; 3/5/2024 3:16:56 PM; 04:58; 0; A; 7
3; 3/5/2024 3:17:19 PM; 04:51; -15; A; 4
2; 3/5/2024 3:28:01 PM; 04:48; 4; A; 8
3; 3/5/2024 3:28:09 PM; 04:58; 0; A; 8
2; 3/5/2024 4:26:56 PM; 04:38; 9.333333; A; 8
3; 3/5/2024 4:27:09 PM; 04:49; 4; A; 8
4; 3/5/2024 4:27:12 PM; 04:59; 0; A; 8
2; 3/5/2024 4:28:11 PM; 04:59; 0; A; 7
3; 3/5/2024 4:28:16 PM; 05:00; 0; A; 7
4; 3/5/2024 4:28:18 PM; 05:00; 0; A; 7
5; 3/5/2024 4:28:20 PM; 05:00; 0; A; 7
6; 3/5/2024 4:28:22 PM; 05:00; 0; A; 7
7; 3/5/2024 4:28:24 PM; 05:00; 0; A; 7
8; 3/5/2024 4:28:26 PM; 05:00; 0; A; 7
9; 3/5/2024 4:28:28 PM; 05:00; 0; A; 7
10; 3/5/2024 4:28:31 PM; 05:00; 0; A; 7
11; 3/5/2024 4:28:33 PM; 05:00; 0; A; 7
12; 3/5/2024 4:28:35 PM; 05:00; 0; A; 7
13; 3/5/2024 4:28:38 PM; 05:00; 0; A; 7
14; 3/5/2024 4:28:44 PM; 05:00; 0; A; 7
15; 3/5/2024 4:28:56 PM; 05:00; 0; A; 7
2; 3/11/2024 12:15:05 PM; 04:54; 0; A; 7
2; 3/18/2024 4:56:32 PM; 04:51; 2.666667; A; 7
3; 3/18/2024 4:56:39 PM; 04:55; 0; A; 7
4; 3/18/2024 4:56:52 PM; 04:48; 4; A; 7
2; 3/18/2024 7:27:12 PM; 04:58; 0; A; 7
2; 3/21/2024 4:59:20 PM; 05:00; 0; A; 7
2; 3/27/2024 4:50:51 PM; 04:53; 0; A; 7
3; 3/27/2024 4:50:57 PM; 04:58; 0; A; 7
2; 3/27/2024 5:26:38 PM; 05:00; 0; A; 7
3; 3/27/2024 5:26:45 PM; 04:58; 0; A; 7
2; 3/27/2024 5:32:29 PM; 04:59; 0; A; 7
3; 3/27/2024 5:32:46 PM; 04:48; 0; A; 7
4; 3/27/2024 5:33:35 PM; 01:20; NaN; A; 9
5; 3/27/2024 5:41:37 PM; 00:00; NaN; A; 4
6; 3/27/2024 5:42:09 PM; -01:-12; NaN; A; 5
2; 3/27/2024 5:45:03 PM; 04:49; 3.472222; A; 7
2; 3/27/2024 6:03:31 PM; 04:51; 2.777778; A; 7
3; 3/27/2024 6:03:44 PM; 04:52; -8.333333; A; 5
2; 3/27/2024 6:06:40 PM; 04:51; 0; A; 7
2; 3/27/2024 6:18:25 PM; 04:58; 0; A; 7
2; 3/27/2024 6:21:30 PM; 04:53; 0; A; 7
2; 3/27/2024 6:22:20 PM; 04:48; 3.472222; A; 7
2; 3/27/2024 6:24:40 PM; 04:59; 0; A; 7
3; 3/27/2024 6:24:58 PM; 04:53; 0; A; 7
4; 3/27/2024 6:25:05 PM; 04:59; 0; A; 7
5; 3/27/2024 6:25:17 PM; 04:57; 0; A; 7
2; 3/28/2024 11:02:02 AM; 04:53; 1.388889; A; 7
3; 3/28/2024 11:02:15 AM; 04:52; 0; A; 7
2; 3/28/2024 11:18:18 AM; 04:56; 0; A; 7
2; 3/28/2024 11:23:42 AM; 04:55; 0; A; 7
3; 3/28/2024 11:24:25 AM; 04:46; 5.555555; A; 7
2; 3/28/2024 1:28:00 PM; 05:00; 0; A; 7
3; 3/28/2024 1:28:06 PM; 04:56; 0; A; 7
4; 3/28/2024 1:28:10 PM; 04:58; 0; A; 7
5; 3/28/2024 1:28:13 PM; 04:58; 0; A; 7
6; 3/28/2024 1:28:47 PM; 04:28; 2.816901; A; 7
7; 3/28/2024 1:29:04 PM; 04:45; 200; A; 7
8; 3/28/2024 1:29:16 PM; 04:50; -0.6944444; A; 7
9; 3/28/2024 1:29:27 PM; 04:51; -4.166667; A; 6
2; 3/28/2024 2:05:58 PM; 05:00; 0; A; 7
2; 3/28/2024 2:08:23 PM; 05:00; 0; A; 7
3; 3/28/2024 2:10:20 PM; 03:09; -12.5; C; 5
2; 3/28/2024 5:51:18 PM; 05:00; 0; A; 7
3; 3/28/2024 5:51:54 PM; 04:28; 6.597223; O; 8
4; 3/28/2024 5:53:20 PM; 03:37; -8.333332; Q; 6
5; 3/28/2024 5:53:22 PM; 04:59; 0; Q; 6
2; 04/09/2024 17:33:16; 04:15; 4,225351; A; 7
3; 04/09/2024 17:34:32; 04:49; 2,816901; A; 7
2; 04/09/2024 18:08:36; 04:03; 7,042254; A; 8
2; 04/09/2024 18:27:01; 03:49; 11,26761; A; 9
2; 04/09/2024 18:40:32; 03:41; 18,30986; B; 2
2; 05/09/2024 14:24:15; 04:01; 19,01409; B; 2
2; 05/09/2024 14:28:50; 02:39; -0,7042267; A; 6
3; 05/09/2024 14:28:54; 04:58; 0; A; 6
4; 05/09/2024 14:28:57; 04:58; 0; A; 6
5; 05/09/2024 14:29:00; 04:58; 0; A; 6
6; 05/09/2024 14:29:34; 04:28; -3,521127; A; 6
2; 05/09/2024 14:39:05; 04:47; 0; A; 7
2; 05/09/2024 14:51:05; 00:00; 46,47886; B; 6
3; 05/09/2024 14:51:18; 04:55; 0,7042254; B; 6
2; 05/09/2024 15:12:13; 04:56; 0; A; 7
2; 10/09/2024 17:48:45; 04:47; 2,112676; A; 7
2; 10/09/2024 19:07:40; 04:54; 0; A; 7
