Sessao; Data; Tipo do Objeto; Pontos; Membro 
2;9/27/2023 4:01:26 PM;Alvo;25;Right_Arm
2;9/27/2023 4:01:36 PM;Alvo;1.333333;Right_Arm
2;9/27/2023 4:01:50 PM;Alvo;1.333333;Right_Arm
5;3/17/2024 6:11:41 PM;Alvo;1.333333;Right_Arm
5;3/17/2024 6:33:12 PM;Obstaculo;1.333333;Left_Arm
5;3/17/2024 6:33:14 PM;Obstaculo;1.333333;Right_Arm
5;3/17/2024 6:33:36 PM;Obstaculo;1.333333;Left_Arm
5;3/17/2024 6:33:38 PM;Obstaculo;1.333333;Right_Arm
5;3/17/2024 6:33:40 PM;Obstaculo;-1.333333;Right_Arm
5;3/18/2024 4:05:17 PM;Obstaculo;1.333333;Right_Arm
5;3/18/2024 4:05:27 PM;Obstaculo;1.333333;Right_Arm
