Sessao; Data; Tempo Final; Pontos; Fase Final; Nivel Final 
2; 10/11/2023 1:55:31 PM; 00:00; 13.33333; A; 9
2; 10/11/2023 2:01:50 PM; 05:00; 0; A; 7
2; 3/4/2024 3:09:42 PM; 04:53; 1.333333; A; 7
2; 3/4/2024 3:21:01 PM; 04:57; 0; A; 7
2; 3/4/2024 3:36:09 PM; 04:58; 0; A; 7
2; 3/4/2024 3:39:17 PM; 04:58; 0; A; 7
2; 3/4/2024 5:38:47 PM; 04:54; 0.6666667; A; 7
2; 3/4/2024 5:55:35 PM; 04:58; 0; A; 7
2; 3/4/2024 5:58:20 PM; 04:56; 0; A; 7
2; 3/4/2024 5:59:37 PM; 04:55; 0; A; 7
2; 3/4/2024 6:01:47 PM; 04:53; 0.6666667; A; 7
3; 3/4/2024 6:01:56 PM; 04:57; 0; A; 7
4; 3/4/2024 6:02:01 PM; 04:57; 0; A; 7
2; 3/4/2024 6:03:06 PM; 04:58; 0; A; 7
2; 3/5/2024 3:16:56 PM; 04:58; 0; A; 7
3; 3/5/2024 3:17:19 PM; 04:51; -15; A; 4
2; 3/5/2024 3:28:01 PM; 04:48; 4; A; 8
3; 3/5/2024 3:28:09 PM; 04:58; 0; A; 8
2; 3/5/2024 4:26:56 PM; 04:38; 9.333333; A; 8
3; 3/5/2024 4:27:09 PM; 04:49; 4; A; 8
4; 3/5/2024 4:27:12 PM; 04:59; 0; A; 8
2; 3/5/2024 4:28:11 PM; 04:59; 0; A; 7
3; 3/5/2024 4:28:16 PM; 05:00; 0; A; 7
4; 3/5/2024 4:28:18 PM; 05:00; 0; A; 7
5; 3/5/2024 4:28:20 PM; 05:00; 0; A; 7
6; 3/5/2024 4:28:22 PM; 05:00; 0; A; 7
7; 3/5/2024 4:28:24 PM; 05:00; 0; A; 7
8; 3/5/2024 4:28:26 PM; 05:00; 0; A; 7
9; 3/5/2024 4:28:28 PM; 05:00; 0; A; 7
10; 3/5/2024 4:28:31 PM; 05:00; 0; A; 7
11; 3/5/2024 4:28:33 PM; 05:00; 0; A; 7
12; 3/5/2024 4:28:35 PM; 05:00; 0; A; 7
13; 3/5/2024 4:28:38 PM; 05:00; 0; A; 7
14; 3/5/2024 4:28:44 PM; 05:00; 0; A; 7
15; 3/5/2024 4:28:56 PM; 05:00; 0; A; 7
