Sessao; Data; Tipo do Objeto; Pontos; Membro 
2;8/18/2023 5:02:51 PM;Alvo;25;Right_Arm
2;8/18/2023 5:02:56 PM;Alvo;1.333333;Right_Arm
2;8/18/2023 5:03:01 PM;Alvo;1.333333;Right_Arm
2;8/18/2023 5:06:29 PM;Alvo;25;Right_Arm
2;8/18/2023 5:06:44 PM;Alvo;1.333333;Right_Arm
2;8/18/2023 5:06:49 PM;Alvo;1.333333;Right_Arm
2;8/18/2023 5:06:55 PM;Alvo;1.333333;Right_Arm
2;8/18/2023 5:07:02 PM;Alvo;1.333333;Left_Arm
2;8/18/2023 5:07:07 PM;Alvo;1.333333;Right_Arm
2;8/18/2023 5:07:13 PM;Alvo;1.333333;Left_Arm
2;8/18/2023 5:07:20 PM;Obstaculo;1.333333;Left_Arm
