Sessao; Data; Tempo Final; Pontos; Fase Final; Nivel Final 
2; 3/4/2024 6:54:09 PM; 05:00; 0; A; 7
3; 3/4/2024 6:54:28 PM; 04:46; 0; A; 7
4; 3/4/2024 6:55:47 PM; 03:46; -65; D; 8
5; 3/21/2024 5:26:41 PM; 04:57; 0; D; 8
6; 3/21/2024 5:26:43 PM; 04:58; 0; D; 8
7; 3/21/2024 5:26:44 PM; 04:59; 0; D; 8
8; 3/21/2024 5:26:46 PM; 04:58; 0; D; 8
9; 3/21/2024 5:26:48 PM; 04:59; 0; D; 8
10; 3/21/2024 5:26:49 PM; 04:59; 0; D; 8
11; 3/21/2024 5:27:10 PM; 04:57; 0; D; 8
12; 3/21/2024 5:27:14 PM; 04:57; 0; D; 8
13; 3/21/2024 5:27:17 PM; 04:58; 0; D; 8
14; 3/21/2024 5:27:19 PM; 04:59; 0; D; 8
15; 3/21/2024 5:27:22 PM; 04:59; 0; D; 8
